state,BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8
AL,MS,TN,FL,GA,,,,
AK,,,,,,,,
AZ,NV,NM,UT,CA,CO,,,
AR,OK,TN,TX,LA,MS,MO,,
CA,OR,AZ,NV,,,,,
CO,NM,OK,UT,WY,AZ,KS,NE,
CT,NY,RI,MA,,,,,
DE,NJ,PA,MD,,,,,
FL,GA,AL,,,,,,
GA,NC,SC,TN,AL,FL,,,
HI,,,,,,,,
ID,UT,WA,WY,MT,NV,OR,,
IL,KY,MO,WI,IN,IA,MI,,
IN,MI,OH,IL,KY,,,,
IA,NE,SD,WI,IL,MN,MO,,
KS,NE,OK,CO,MO,,,,
KY,TN,VA,WV,IL,IN,MO,OH,
LA,TX,AR,MS,,,,,
ME,NH,,,,,,,
MD,VA,WV,DE,PA,,,,
MA,NY,RI,VT,CT,NH,,,
MI,OH,WI,IL,IN,MN,,,
MN,ND,SD,WI,IA,MI,,,
MS,LA,TN,AL,AR,,,,
MO,NE,OK,TN,AR,IL,IA,KS,KY
MT,SD,WY,ID,ND,,,,
NE,MO,SD,WY,CO,IA,KS,,
NV,ID,OR,UT,AZ,CA,,,
NH,VT,ME,MA,,,,,
NJ,PA,DE,NY,,,,,
NM,OK,TX,UT,AZ,CO,,,
NY,PA,RI,VT,CT,MA,NJ,,
NC,TN,VA,GA,SC,,,,
ND,SD,MN,MT,,,,,
OH,MI,PA,WV,IN,KY,,,
OK,MO,NM,TX,AR,CO,KS,,
OR,NV,WA,CA,ID,,,,
PA,NY,OH,WV,DE,MD,NJ,,
RI,MA,NY,CT,,,,,
SC,NC,GA,,,,,,
SD,NE,ND,WY,IA,MN,MT,,
TN,MS,MO,NC,VA,AL,AR,GA,KY
TX,NM,OK,AR,LA,,,,
UT,NV,NM,WY,AZ,CO,ID,,
VT,NH,NY,MA,,,,,
VA,NC,TN,WV,KY,MD,,,
WA,OR,ID,,,,,,
WV,PA,VA,KY,MD,OH,,,
WI,MI,MN,IL,IA,,,,
WY,NE,SD,UT,CO,ID,MT,,
